t,Vs
2416,1602
2420,3334
2424,0
2428,3879
2432,996
2436,1602
2440,3333
2444,0
2448,3883
2452,1003
2456,1600
2460,3327
2464,0
2468,3875
2472,1009
2476,1606
2480,3331
2484,0
2488,3869
2492,997
2496,1601
2500,3343
2504,0
2508,3875
2512,998
2516,1605
2520,3339
2524,0
2528,3875
2532,1008
2536,1599
2540,3335
2544,0
2548,3875
2552,1014
2556,1601
2560,3334
2564,0
2568,3877
2572,997
2576,1603
2580,3335
2584,0
2588,3883
2592,992
2596,1603
2600,3335
2604,0
2608,3877
2612,1010
2616,1601
2620,3339
2624,0
2628,3883
2632,1008
2636,1601
2640,3335
2644,0
2648,3885
2652,1010
2656,1603
2660,3333
2664,0
2668,3875
2672,1009
2676,1601
2680,3341
2684,0
2688,3875
2692,1001
2696,1606
2700,3343
2704,0
2708,3882
2712,997
2716,1607
2720,3335
2724,0
2728,3870
2732,1009
2736,1602
2740,3337
2744,0
2748,3875
2752,1008
2756,1602
2760,3335
2764,0
2768,3879
2772,1015
2776,1604
2780,3335
2784,0
2788,3875
2792,1003
2796,1602
2800,3341
2804,0
2808,3879
2812,1010
2816,1600
2820,3339
2824,0
2828,3879
2832,992
2836,1602
2840,3335
2844,0
2848,3881
2852,1008
2856,1601
2860,3339
2864,0
2868,3877
2872,1013
2876,1605
2880,3335
2884,0
2888,3863
2892,1012
2896,1602
2900,3335
2904,0
2908,3879
2912,998
2916,1602
2920,3335
2924,0
2928,3877
2932,1008
2936,1607
2940,3343
2944,0
2948,3871
2952,998
2956,1603
2960,3339
2964,0
2968,3879
2972,990
2976,1602
2980,3339
2984,0
2988,3879
2992,1002
2996,1603
3000,3335
3004,58
3008,60
3012,58
3016,1621
3020,3339
3024,0
3028,3871
3032,992
3036,1602
3040,3333
3044,0
3048,3877
3052,998
3056,1602
3060,3335
3064,0
3068,3879
3072,1008
3076,1605
3080,3339
3084,0
3088,3883
3092,997
3096,1605
3100,3339
3104,0
3108,3886
3112,1001
3116,1607
3120,3342
3124,0
3128,3875
3132,1002
3136,1605
3140,3334
3144,0
3148,3867
3152,994
3156,1602
3160,3335
3164,0
3168,3875
3172,1008
3176,1601
3180,3343
3184,0
3188,3871
3192,996
3196,1602
3200,3335
3204,0
3208,3875
3212,989
3216,1600
3220,3334
3224,0
3228,3879
3232,1001
3236,1600
3240,3343
3244,0
3248,3879
3252,1014
3256,1604
3260,3335
3264,0
3268,3883
3272,1008
3276,1601
3280,3343
3284,0
3288,3883
3292,1000
3296,1606
3300,3335
3304,0
3308,3886
3312,997
3316,1602
3320,3335
3324,0
3328,3883
3332,999
3336,1595
3340,3335
3344,0
3348,3875
3352,992
3356,1603
3360,3335
3364,0
3368,3879
3372,997
3376,1605
3380,3339
3384,0
3388,3877
3392,1013
3396,1604
3400,3339
3404,0
3408,3875
3412,1010
3416,1603
3420,3327
3424,0
3428,3871
3432,994
3436,1601
